"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"3189","VPS37B",1662,"VPS37B","OK","treatmentcontrol",0.926603568,0.040357137,22.96009155,1.03e-111,1.299416739,"count",3.48e-107
"3190","SGPL1",840,"SGPL1","OK","treatmentcontrol",0.960263868,0.059029306,16.2675784,3.25e-58,1.299410818,"count",1.04e-53
"3191","HHIPL1",620,"HHIPL1","OK","treatmentcontrol",0.988243638,0.072407972,13.64827115,9.13e-42,1.297087619,"count",2.84e-37
"3193","B3GNTL1",370,"B3GNTL1","OK","treatmentcontrol",1.067402924,0.102815728,10.38170852,4.98e-25,1.296805233,"count",1.47e-20
"3194","WAKMAR2",1727,"WAKMAR2","OK","treatmentcontrol",0.921739805,0.048789484,18.89218178,2.72e-77,1.296622796,"count",8.95e-73
"3197","TAF1B",3373,"TAF1B","OK","treatmentcontrol",0.90687232,0.027710656,32.72648382,1.18e-215,1.295850181,"count",4.16e-211
"3198","ZNF610",433,"ZNF610","OK","treatmentcontrol",1.037458789,0.097367998,10.65502841,2.89e-26,1.29493089,"count",8.57e-22
"3199","RAB11FIP4",861,"RAB11FIP4","OK","treatmentcontrol",0.956976672,0.060005738,15.94808613,4.56e-56,1.294509239,"count",1.46e-51
"3201","NUP205",939,"NUP205","OK","treatmentcontrol",0.952190745,0.05786256,16.45607714,1.68e-59,1.293139849,"count",5.43e-55
"3208","AP3M1",1187,"AP3M1","OK","treatmentcontrol",0.935022942,0.050177978,18.63412958,2.64e-75,1.29149506,"count",8.68e-71
"3209","PARN",1383,"PARN","OK","treatmentcontrol",0.927875549,0.047566553,19.50689066,4.01e-82,1.291346158,"count",1.33e-77
"3210","GINS1",308,"GINS1","OK","treatmentcontrol",1.089367439,0.114949006,9.476962645,3.73e-21,1.289820775,"count",1.07e-16
"3211","NPEPPS",3262,"NPEPPS","OK","treatmentcontrol",0.902576113,0.025112238,35.94168382,1.7e-255,1.289508609,"count",6.06e-251
"3212","AL035681.1",241,"AL035681.1","OK","treatmentcontrol",1.147197461,0.124306848,9.228755148,3.76e-20,1.288885106,"count",1.08e-15
"3216","PLPPR5",415,"PLPPR5","OK","treatmentcontrol",1.018914191,0.082997508,12.27644315,3.23e-34,1.287396627,"count",9.84e-30
"3217","MED15",1393,"MED15","OK","treatmentcontrol",0.923632253,0.043786877,21.09381417,3.26e-95,1.287312679,"count",1.09e-90
"3218","CABIN1",2602,"CABIN1","OK","treatmentcontrol",0.904363786,0.03105507,29.12129319,4.36e-174,1.286107382,"count",1.52e-169
"3222","AL118511.1",221,"AL118511.1","OK","treatmentcontrol",1.171357957,0.130794283,8.955727515,4.48e-19,1.284978984,"count",1.28e-14
"3224","ARFIP1",2620,"ARFIP1","OK","treatmentcontrol",0.903668089,0.031666595,28.53695132,1.1e-167,1.284446371,"count",3.85e-163
"3225","DNMT3A",2397,"DNMT3A","OK","treatmentcontrol",0.904251282,0.031358082,28.83630743,5.95e-171,1.284400907,"count",2.08e-166
"3226","RALGPS2",4940,"RALGPS2","OK","treatmentcontrol",0.892842187,0.017534451,50.91931115,0,1.284164543,"count",0
"3227","FAM49B",2839,"FAM49B","OK","treatmentcontrol",0.901824225,0.029599402,30.46765053,3.33e-189,1.283634255,"count",1.17e-184
"3231","IFT140",1031,"IFT140","OK","treatmentcontrol",0.937041106,0.056345364,16.63031426,1.06e-60,1.282522516,"count",3.44e-56
"3232","CTNNA1",2751,"CTNNA1","OK","treatmentcontrol",0.899480683,0.028085063,32.0270127,2.53e-207,1.282249474,"count",8.92e-203
"3233","TSPAN18",1696,"TSPAN18","OK","treatmentcontrol",0.910567688,0.040875871,22.27641061,1.56e-105,1.282108796,"count",5.27e-101
