"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"736","NOL7",4515,"NOL7","OK","treatmentcontrol",-0.877679131,0.025202044,-34.8257116,2.17e-241,-1.259729113,"count",7.7e-237
"737","WBP2",3439,"WBP2","OK","treatmentcontrol",-0.883274197,0.029825863,-29.61437138,1.45e-179,-1.259573826,"count",5.07e-175
"738","ERLEC1",4106,"ERLEC1","OK","treatmentcontrol",-0.879557946,0.028162517,-31.2315105,5.33e-198,-1.259028722,"count",1.87e-193
"740","DNAJB4",2176,"DNAJB4","OK","treatmentcontrol",-0.895287575,0.052126427,-17.17531077,1.59e-64,-1.256672917,"count",5.16e-60
"742","FAIM",2007,"FAIM","OK","treatmentcontrol",-0.894162933,0.059842584,-14.94191718,1.47e-49,-1.25628129,"count",4.65e-45
"744","GRK1",341,"GRK1","OK","treatmentcontrol",-1.108700516,0.167503675,-6.618962356,3.94e-11,-1.255606082,"count",1.04e-06
"745","EPHX1",1335,"EPHX1","OK","treatmentcontrol",-0.914825995,0.069423132,-13.17753842,4.31e-39,-1.254848605,"count",1.33e-34
"746","ACAP1",872,"ACAP1","OK","treatmentcontrol",-0.946797352,0.087264206,-10.84977904,3.65e-27,-1.25451952,"count",1.09e-22
"750","AAMP",2254,"AAMP","OK","treatmentcontrol",-0.88978557,0.042649788,-20.86260229,2.99e-93,-1.253747524,"count",9.98e-89
"752","TMEM74B",789,"TMEM74B","OK","treatmentcontrol",-0.957084501,0.099857382,-9.584514301,1.34e-21,-1.252675835,"count",3.88e-17
"755","CTU1",1330,"CTU1","OK","treatmentcontrol",-0.914475326,0.065567341,-13.94711626,1.65e-43,-1.250438116,"count",5.16e-39
"756","AL356489.3",658,"AL356489.3","OK","treatmentcontrol",-0.973421567,0.107622604,-9.044768752,2.01e-19,-1.249493545,"count",5.75e-15
"757","SYVN1",1464,"SYVN1","OK","treatmentcontrol",-0.905474477,0.057998955,-15.6119101,7.52e-54,-1.249388846,"count",2.4e-49
"760","PGAM5",901,"PGAM5","OK","treatmentcontrol",-0.939192247,0.078930923,-11.89891383,2.85e-32,-1.248192159,"count",8.64e-28
"762","CABP2",1802,"CABP2","OK","treatmentcontrol",-0.891211533,0.063103815,-14.12294231,1.5e-44,-1.247510905,"count",4.7e-40
"763","GLMP",962,"GLMP","OK","treatmentcontrol",-0.929499088,0.081549586,-11.39796208,8.89e-30,-1.247394807,"count",2.67e-25
"765","TMEM167B",2069,"TMEM167B","OK","treatmentcontrol",-0.888246184,0.046340731,-19.1677207,1.93e-79,-1.245341836,"count",6.37e-75
"767","AC073195.1",421,"AC073195.1","OK","treatmentcontrol",-1.044161996,0.128662921,-8.115484935,5.86e-16,-1.24267111,"count",1.63e-11
"768","LINC02588",332,"LINC02588","OK","treatmentcontrol",-1.055645108,0.153601443,-6.872624931,6.97e-12,-1.242397943,"count",1.86e-07
"769","AC067852.5",287,"AC067852.5","OK","treatmentcontrol",-1.152717398,0.164854983,-6.992311544,3.01e-12,-1.242204528,"count",8.09e-08
"770","MTCH1",3296,"MTCH1","OK","treatmentcontrol",-0.870578083,0.031835988,-27.34572201,6.21e-155,-1.241971877,"count",2.15e-150
"772","PMM2",1925,"PMM2","OK","treatmentcontrol",-0.883634497,0.053443214,-16.53408216,4.91e-60,-1.24193287,"count",1.58e-55
"779","YPEL4",300,"YPEL4","OK","treatmentcontrol",-1.102945351,0.147977414,-7.453470926,1.04e-13,-1.238867698,"count",2.85e-09
"780","LAMTOR5",5296,"LAMTOR5","OK","treatmentcontrol",-0.860315968,0.019209513,-44.78593265,0,-1.237790942,"count",0
"781","TRMT2A",1150,"TRMT2A","OK","treatmentcontrol",-0.908593305,0.067993723,-13.36289983,3.91e-40,-1.237589678,"count",1.21e-35
"783","AL137802.2",688,"AL137802.2","OK","treatmentcontrol",-0.959700557,0.093773358,-10.23425603,2.25e-24,-1.23686185,"count",6.59e-20
"787","LRRC45",382,"LRRC45","OK","treatmentcontrol",-1.054686133,0.132034169,-7.987978696,1.64e-15,-1.234669467,"count",4.56e-11
"791","BICDL2",300,"BICDL2","OK","treatmentcontrol",-1.122822271,0.154448648,-7.269874403,4.08e-13,-1.231117589,"count",1.11e-08
"792","BCL3",400,"BCL3","OK","treatmentcontrol",-1.03060903,0.117599363,-8.763729663,2.45e-18,-1.230745497,"count",6.95e-14
"793","AC137630.3",235,"AC137630.3","OK","treatmentcontrol",-1.18826233,0.155563477,-7.638440304,2.56e-14,-1.230280357,"count",7.02e-10
"794","AL139089.1",753,"AL139089.1","OK","treatmentcontrol",-0.947100283,0.090636145,-10.44947663,2.48e-25,-1.229381434,"count",7.3e-21
"798","TRIM73",778,"TRIM73","OK","treatmentcontrol",-0.93689302,0.085261362,-10.98848289,8.17e-28,-1.227949863,"count",2.44e-23
"801","SLC22A17",2665,"SLC22A17","OK","treatmentcontrol",-0.865035322,0.040890027,-21.15516653,9.77e-96,-1.226121088,"count",3.27e-91
"802","LSM3",4634,"LSM3","OK","treatmentcontrol",-0.853404503,0.023836221,-35.80284401,1e-253,-1.225034421,"count",3.57e-249
"803","PTPRN",2679,"PTPRN","OK","treatmentcontrol",-0.865282324,0.041394152,-20.90349211,1.35e-93,-1.224843007,"count",4.51e-89
"804","SCAND1",5037,"SCAND1","OK","treatmentcontrol",-0.851545428,0.019735384,-43.14815579,0,-1.22377566,"count",0
"805","TMEM251",3310,"TMEM251","OK","treatmentcontrol",-0.858986678,0.03352024,-25.62591107,2.86e-137,-1.222658295,"count",9.85e-133
"808","HSD17B7",1646,"HSD17B7","OK","treatmentcontrol",-0.881344809,0.056605899,-15.56984042,1.41e-53,-1.222218043,"count",4.51e-49
"810","PANX2",462,"PANX2","OK","treatmentcontrol",-1.001718317,0.117877739,-8.497943077,2.43e-17,-1.221671946,"count",6.84e-13
"811","WDR18",2750,"WDR18","OK","treatmentcontrol",-0.86151531,0.037847153,-22.76301503,6.45e-110,-1.221502374,"count",2.18e-105
"812","DTYMK",2629,"DTYMK","OK","treatmentcontrol",-0.862282465,0.039728686,-21.70427825,1.76e-100,-1.221501986,"count",5.92e-96
"813","IER3IP1",4754,"IER3IP1","OK","treatmentcontrol",-0.850529183,0.022122261,-38.44675613,3.68e-288,-1.221245192,"count",1.32e-283
"814","UBA5",2820,"UBA5","OK","treatmentcontrol",-0.859751299,0.03947739,-21.77832183,3.96e-101,-1.220793795,"count",1.33e-96
"817","SNRPC",4295,"SNRPC","OK","treatmentcontrol",-0.851594739,0.024715821,-34.45545018,8.97e-237,-1.219860339,"count",3.18e-232
"818","LINC02019",234,"LINC02019","OK","treatmentcontrol",-1.203361098,0.184710146,-6.514861911,7.89e-11,-1.219640239,"count",2.08e-06
"821","SEC61A1",2512,"SEC61A1","OK","treatmentcontrol",-0.860160011,0.03973162,-21.64925595,5.32e-100,-1.218770034,"count",1.79e-95
"822","SORBS3",458,"SORBS3","OK","treatmentcontrol",-0.98483653,0.101074812,-9.743639508,2.91e-22,-1.218485524,"count",8.45e-18
"823","PRDX5",5431,"PRDX5","OK","treatmentcontrol",-0.845982882,0.020451674,-41.36496983,0,-1.218040024,"count",0
"824","SCRN2",1530,"SCRN2","OK","treatmentcontrol",-0.881050211,0.059298963,-14.85776765,4.94e-49,-1.217415656,"count",1.56e-44
"825","COQ6",1246,"COQ6","OK","treatmentcontrol",-0.891109198,0.062329822,-14.29667493,1.37e-45,-1.216805013,"count",4.29e-41
"827","NFKBIE",494,"NFKBIE","OK","treatmentcontrol",-0.997303299,0.120267215,-8.292395359,1.37e-16,-1.215923119,"count",3.83e-12
"830","ELP5",3265,"ELP5","OK","treatmentcontrol",-0.854082083,0.03506654,-24.35604064,8.2e-125,-1.215350145,"count",2.8e-120
"831","CBARP",381,"CBARP","OK","treatmentcontrol",-1.041658866,0.13015465,-8.003239727,1.45e-15,-1.214760177,"count",4.03e-11
"832","AC027601.6",1178,"AC027601.6","OK","treatmentcontrol",-0.887856436,0.06535107,-13.58595106,2.09e-41,-1.214508806,"count",6.49e-37
