"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"271","ARL8A",-1.137936135,-1.598525583,3524,1.02e-171
"272","LRRC59",-1.133977879,-1.597340339,3234,6.48e-136
"273","PHOX2A",-1.206898729,-1.596910204,1161,1.21e-33
"274","GDF10",-1.193283242,-1.596433883,1261,1.22e-24
"275","ARF4",-1.110188496,-1.596128205,6015,2.51e-232
"276","MAF1",-1.120774094,-1.592181639,4607,5.68e-234
"278","CDCA7L",-1.243289448,-1.585454044,1107,2.75e-50
"281","RTBDN",-1.104619358,-1.58238423,6253,9.05e-170
"282","MIR210HG",-1.114226655,-1.580296992,4074,3.72e-117
"288","SNRPB",-1.097601719,-1.573965436,6534,0
"289","YIPF2",-1.103853797,-1.573893802,4302,7.92e-192
"292","RASSF1",-1.137572204,-1.573596022,2173,1.09e-81
"297","FAM171A2",-1.131327,-1.569066848,2453,7.48e-102
"298","MAD2L2",-1.187701133,-1.564468559,1351,6.63e-54
"299","ISOC2",-1.099472728,-1.560436742,3981,8.89e-186
"301","CBX5",-1.093955672,-1.560289861,5500,2.75e-224
"302","ARF1",-1.084214414,-1.558007993,7246,0
"303","PFN1",-1.087597735,-1.55754513,6061,0
"304","PAX6",-1.148824639,-1.55522332,1190,1.42e-29
"306","MZT1",-1.087144932,-1.55048022,5070,1.74e-232
"307","MTCH1",-1.088199117,-1.548273576,5079,1.35e-245
"308","ILVBL",-1.096244449,-1.545039453,3270,1.53e-164
"309","TUBG1",-1.107934819,-1.544323979,2779,1.27e-102
"313","SHC2",-1.137173012,-1.538147534,1669,6.06e-47
"316","FAM162A",-1.066594061,-1.534946377,7675,6.67e-246
"317","SLC25A39",-1.105877504,-1.532479918,2599,1.29e-112
"319","NFKBIL1",-1.089394065,-1.531793669,3264,2.85e-155
"320","TPT1",-1.061900558,-1.531336317,8961,0
"321","PYCR1",-1.120622138,-1.530929083,1589,6.32e-56
"323","KRTCAP2",-1.0639625,-1.528141629,7559,0
"324","RTL8A",-1.07207381,-1.524344172,4561,1.51e-218
"325","RAB11B",-1.072244635,-1.524338544,4707,1.01e-226
"328","INSIG2",-1.081128881,-1.519899692,2914,3.35e-85
"329","C12orf57",-1.057324406,-1.519692146,7521,0
"330","MDH2",-1.056825625,-1.519083627,7667,0
"331","POLR3D",-1.072693515,-1.518532981,3370,4.64e-107
"332","GLUL",-1.088426942,-1.518397544,2661,3.62e-93
"334","FRZB",-1.961287426,-1.515207973,487,7.95e-35
"335","BTG1",-1.054288066,-1.515206216,7138,1.78e-286
"337","CD44",-1.395914282,-1.512388269,577,4.52e-26
"341","P4HB",-1.055265933,-1.507197083,4980,2.26e-214
"344","NME4",-1.114763028,-1.505328568,1866,4.37e-78
"345","EIF3G",-1.050000925,-1.505209653,6624,0
"351","BNIP3",-1.03727386,-1.492069264,7254,1.1e-226
"354","GPX3",-1.108222092,-1.490122821,1626,4.28e-51
"355","SIVA1",-1.043549544,-1.489554469,5720,7.47e-303
"357","JMJD4",-1.095549489,-1.486938369,1822,9.51e-68
"358","NAPA",-1.040834745,-1.486865439,5630,5.13e-244
"359","GLMP",-1.120686688,-1.481417014,1126,1.65e-43
"360","WDR18",-1.045330413,-1.477772,3941,5.52e-165
"361","DANCR",-1.255760755,-1.477518846,784,2.96e-33
"362","HOMER3",-1.113441552,-1.474006716,1403,1.13e-50
"363","AL139246.5",-1.12362461,-1.472029627,1135,1.32e-30
"366","HDDC3",-1.080780973,-1.468905192,1848,6.47e-73
"367","PRMT1",-1.020329992,-1.468302287,8383,0
"368","CNN2",-1.101486499,-1.467946552,1345,3.96e-28
"369","CD81",-1.02445241,-1.467422343,6185,2.27064510332653e-311
"370","TRIB1",-1.287418991,-1.467288982,624,0.002054006
"371","MLF2",-1.020958426,-1.466687149,7174,0
"372","AC006450.3",-1.605146353,-1.4653634,461,4.59e-20
"373","ARHGDIA",-1.073479063,-1.464408309,1863,7.32e-75
"374","NETO1",-1.250576652,-1.463893779,371,7.37e-08
"375","VEGFB",-1.021911194,-1.462970428,6546,7.07293852204506e-312
"377","FZD5",-1.179367086,-1.459371244,975,6.67e-43
"378","PLP2",-1.318986192,-1.458470436,550,4.01e-20
"379","ARR3",-1.010226267,-1.454711364,7472,1.62e-142
"381","EMC4",-1.017464317,-1.45396998,5868,4.99279935463436e-310
"382","TECR",-1.014456968,-1.453291175,6619,0
"383","TMEM208",-1.013176975,-1.452786413,6724,0
"384","EEF1AKMT4",-1.04848565,-1.449863453,1843,9.92e-54
"387","PPP4C",-1.017347437,-1.446675609,5106,9.34e-242
"388","NAA10",-1.017509051,-1.445225234,4591,7.42e-203
"389","PSME1",-1.013361638,-1.445196364,4902,5.53e-236
"390","SNAPIN",-1.024577125,-1.443621398,3812,9.39e-133
"393","ARPC5",-1.015730686,-1.443101279,4844,1.49e-224
"394","CUTA",-1.003192763,-1.441748999,7542,0
"396","GCAT",-1.15693317,-1.438717219,827,3.76e-33
"397","ANXA5",-1.036197176,-1.438577359,2744,1.95e-90
"398","TMEM35B",-1.589159465,-1.437860143,517,1.53e-38
"402","TRAM1",-1.007566494,-1.434759998,4979,1.02e-174
"403","GOLGA2",-1.000016223,-1.433004359,5531,1.64e-189
"404","IMP4",-1.015780552,-1.432619408,3332,4.23e-127
"405","MRPL4",-1.008388267,-1.431457605,4645,1.23e-197
"406","TPM2",-1.963130275,-1.429349188,274,8.87e-20
"407","ALG3",-1.004830945,-1.427751631,3996,2.2e-154
"409","AC009041.2",-1.587813619,-1.424642904,495,5.11e-36
"410","RER1",-1.000742104,-1.424640908,4804,2.39e-187
"411","RASSF4",-1.042255348,-1.421495146,1977,1.28e-71
"412","SORBS3",-1.285118913,-1.416966277,642,3.17e-36
"414","NINJ1",-1.100235539,-1.413873986,1136,2.26e-44
"418","MAD2L1",-1.026825952,-1.39873117,1799,3.57e-48
"419","UCP2",-1.088049562,-1.397904063,1047,9.34e-21
"420","MT1F",-1.023589314,-1.39736463,1525,1.31e-21
"421","B4GALT3",-1.031755116,-1.397343217,1677,6.91e-53
"422","PDE6G",-1.00266168,-1.395129447,3008,2.07e-59
"423","BCAT1",-1.343316488,-1.393216577,318,8e-06
"427","SIX5",-1.439108534,-1.381590962,364,6.38e-14
"429","PCGF2",-1.000056792,-1.375721912,2275,3.39e-65
"430","IRF1",-1.160812943,-1.371314642,823,2.01e-27
"431","SIX3-AS1",-1.030299006,-1.364964646,1297,8.3e-36
"432","S100A2",-1.658153258,-1.363002667,273,5.88e-12
"434","VWA1",-1.184571936,-1.348806755,614,8.61e-26
"435","AC239799.2",-1.110118776,-1.339428676,649,3.52e-09
"436","USP51",-1.006282502,-1.335705635,1301,4.38e-30
"437","CLUL1",-1.344040232,-1.33437255,709,6.23e-30
"438","RDH8",-1.406437917,-1.322578122,410,2e-21
"439","AC020916.1",-1.852676336,-1.294135037,248,1.15e-13
"440","SLC1A3",-1.707173016,-1.290284055,462,3.94e-24
"441","CLEC2L",-1.043029547,-1.288980549,547,1.08e-10
"442","PIANP",-1.080269533,-1.2826773,780,7.15e-23
"443","GABRA1",-1.868927033,-1.280010538,211,1.09e-08
"445","CDKN3",-1.02676223,-1.274468637,893,1.12e-18
"446","PGA5",-1.353772857,-1.262525645,214,2.36e-09
"447","SPHK1",-3.288368752,-1.259693959,222,2.44e-43
"449","GPR37",-1.429868181,-1.245791943,477,6.07e-25
"450","PROX1",-1.099953021,-1.245534298,560,2.57e-09
"452","RFLNB",-1.106316827,-1.238910864,473,3.03e-11
"453","SLITRK5",-1.298154404,-1.215175824,386,8.33e-15
"454","HRK",-1.012616958,-1.190454055,617,5.87e-15
