gene_short_name,num_cells_expressed,gene_id,status,term,estimate,std_err,test_val,p_value,normalized_effect,model_component,q_value
MT2A,667,MT2A,OK,treatmentcontrol,-1.750539078,0.115817578,-15.11462341,3.74E-50,-2.369740233,count,9.56E-46
STC1,828,STC1,OK,treatmentcontrol,-1.75244077,0.082380964,-21.27239944,6.40E-95,-2.369269546,count,1.69E-90
AL133453.1,791,AL133453.1,OK,treatmentcontrol,-1.742447055,0.08140219,-21.40540752,5.06E-96,-2.34071468,count,1.34E-91
RBM3,1545,RBM3,OK,treatmentcontrol,-1.648859094,0.047455002,-34.74573869,1.08E-229,-2.313937796,count,3.95E-225
MXRA7,1858,MXRA7,OK,treatmentcontrol,-1.634891669,0.04015176,-40.71780797,1.13E-300,-2.309512965,count,4.12E-296
SYT11,459,SYT11,OK,treatmentcontrol,-1.797540681,0.116356623,-15.44854636,3.00E-52,-2.270262708,count,7.69E-48
SVIP,1098,SVIP,OK,treatmentcontrol,-1.627882326,0.063295661,-25.7187034,1.60E-134,-2.251176667,count,4.27E-130
ANKRD33,943,ANKRD33,OK,treatmentcontrol,-1.645733486,0.067212223,-24.48562781,5.45E-123,-2.244060092,count,1.45E-118
CDCA7L,278,CDCA7L,OK,treatmentcontrol,-1.945420779,0.157671464,-12.33844557,2.57E-34,-2.211650107,count,6.39E-30
UNC119,3223,UNC119,OK,treatmentcontrol,-1.530198122,0.022693242,-67.42968321,0,-2.202640874,count,0
NRL,3322,NRL,OK,treatmentcontrol,-1.517621662,0.024243888,-62.59811463,0,-2.187591668,count,0
GAPDH,3452,GAPDH,OK,treatmentcontrol,-1.516947428,0.030412508,-49.87906337,0,-2.184516467,count,0
MT1X,1209,MT1X,OK,treatmentcontrol,-1.556338255,0.068815262,-22.61617843,2.69E-106,-2.184408195,count,7.13E-102
PPEF2,399,PPEF2,OK,treatmentcontrol,-1.747300639,0.106452543,-16.41389296,1.57E-58,-2.179620973,count,4.05E-54
HMGN1,3442,HMGN1,OK,treatmentcontrol,-1.505427448,0.021579354,-69.76239595,0,-2.167870177,count,0
MTFP1,822,MTFP1,OK,treatmentcontrol,-1.592035834,0.070962088,-22.43501946,9.87E-105,-2.146993744,count,2.62E-100
NXPH1,253,NXPH1,OK,treatmentcontrol,-1.885110465,0.144115826,-13.08052364,2.87E-38,-2.138374738,count,7.20E-34
NR2E3,1621,NR2E3,OK,treatmentcontrol,-1.513638059,0.048546638,-31.17905006,4.75E-190,-2.137494018,count,1.28E-185
CBX8,294,CBX8,OK,treatmentcontrol,-1.847697343,0.128245729,-14.40747663,7.54E-46,-2.117742045,count,1.92E-41
TAGLN2,1317,TAGLN2,OK,treatmentcontrol,-1.515266975,0.055554677,-27.27523664,1.22E-149,-2.111315039,count,3.27E-145
HIST1H4C,2553,HIST1H4C,OK,treatmentcontrol,-1.470946517,0.029989858,-49.04813175,0,-2.107196772,count,0
RPS26,2644,RPS26,OK,treatmentcontrol,-1.452364412,0.030750737,-47.23023169,0,-2.079383965,count,0
BBC3,461,BBC3,OK,treatmentcontrol,-1.632556186,0.11193473,-14.58489407,6.52E-47,-2.072931263,count,1.66E-42
RPP25,400,RPP25,OK,treatmentcontrol,-1.656203209,0.103992657,-15.92615527,2.57E-55,-2.055921209,count,6.62E-51
PRR7,631,PRR7,OK,treatmentcontrol,-1.551564976,0.079851631,-19.43059842,3.19E-80,-2.042045199,count,8.39E-76
ALDOA,460,ALDOA,OK,treatmentcontrol,-1.587090812,0.094966178,-16.71216902,1.54E-60,-2.022142128,count,3.99E-56
C1QTNF4,668,C1QTNF4,OK,treatmentcontrol,-1.505666107,0.083850048,-17.95665166,3.05E-69,-2.010519075,count,7.95E-65
SNHG1,772,SNHG1,OK,treatmentcontrol,-1.500511496,0.079046496,-18.982644,8.25E-77,-2.009159383,count,2.16E-72
HIST1H4E,374,HIST1H4E,OK,treatmentcontrol,-1.636359293,0.113273833,-14.44604862,4.44E-46,-1.992490757,count,1.13E-41
SAP30,936,SAP30,OK,treatmentcontrol,-1.457650185,0.067357223,-21.64059218,5.53E-98,-1.9898202,count,1.46E-93
VEGFA,1159,VEGFA,OK,treatmentcontrol,-1.427424607,0.064825052,-22.01964448,3.52E-101,-1.98928412,count,9.32E-97
LENG8,1278,LENG8,OK,treatmentcontrol,-1.423922958,0.053223264,-26.75377011,1.66E-144,-1.980967035,count,4.43E-140
ANKRD49,544,ANKRD49,OK,treatmentcontrol,-1.536225929,0.090874509,-16.90491579,7.50E-62,-1.980127474,count,1.94E-57
RASSF2,722,RASSF2,OK,treatmentcontrol,-1.46917183,0.071915684,-20.429088,4.65E-88,-1.974594103,count,1.23E-83
SYDE2,619,SYDE2,OK,treatmentcontrol,-1.499701502,0.08089186,-18.5395849,1.69E-73,-1.970230348,count,4.41E-69
LINC02528,201,LINC02528,OK,treatmentcontrol,-1.740626366,0.159155631,-10.93663075,1.98E-27,-1.943839584,count,4.83E-23
CEBPZOS,837,CEBPZOS,OK,treatmentcontrol,-1.433674024,0.072632683,-19.73869025,1.32E-82,-1.940226469,count,3.47E-78
GPR146,265,GPR146,OK,treatmentcontrol,-1.705437916,0.138158477,-12.34407003,2.40E-34,-1.936577125,count,5.97E-30
SOCS1,435,SOCS1,OK,treatmentcontrol,-1.516989253,0.101121537,-15.0016436,1.87E-49,-1.930394364,count,4.78E-45
THUMPD3,739,THUMPD3,OK,treatmentcontrol,-1.44361683,0.075582468,-19.0998902,1.07E-77,-1.929836376,count,2.81E-73
ZNF280D,401,ZNF280D,OK,treatmentcontrol,-1.540872834,0.108243907,-14.23519236,7.91E-45,-1.92431708,count,2.01E-40
BTG1,3118,BTG1,OK,treatmentcontrol,-1.33151053,0.028962967,-45.97286328,0,-1.911559108,count,0
NGRN,2052,NGRN,OK,treatmentcontrol,-1.344737315,0.03395545,-39.60298918,4.70E-287,-1.908400283,count,1.72E-282
RNF126,635,RNF126,OK,treatmentcontrol,-1.442216142,0.077935077,-18.50535338,3.02E-73,-1.904003588,count,7.90E-69
KDM7A-DT,232,KDM7A-DT,OK,treatmentcontrol,-1.721278181,0.156155669,-11.02283504,7.87E-28,-1.90055269,count,1.92E-23
ATF4,2014,ATF4,OK,treatmentcontrol,-1.337633348,0.037189741,-35.96780501,8.65E-244,-1.897883611,count,3.16E-239
YBX3,1400,YBX3,OK,treatmentcontrol,-1.343466213,0.047431796,-28.32416929,3.69E-160,-1.894600064,count,9.89E-156
AL627171.2,519,AL627171.2,OK,treatmentcontrol,-1.467609813,0.097639045,-15.03097268,1.23E-49,-1.888193004,count,3.15E-45
RPS27,3569,RPS27,OK,treatmentcontrol,-1.300257336,0.019412528,-66.98032011,0,-1.872466953,count,0
TMEM37,315,TMEM37,OK,treatmentcontrol,-1.56924795,0.121134701,-12.95456993,1.39E-37,-1.857992038,count,3.49E-33
TUBA4A,1543,TUBA4A,OK,treatmentcontrol,-1.31426075,0.045711853,-28.75098422,1.63E-164,-1.857256783,count,4.38E-160
EIF4A3,1536,EIF4A3,OK,treatmentcontrol,-1.320124706,0.044381096,-29.74520311,8.14E-175,-1.849941447,count,2.18E-170
CRACR2B,799,CRACR2B,OK,treatmentcontrol,-1.366571512,0.069438535,-19.68030458,3.75E-82,-1.846326577,count,9.86E-78
CDKN1B,1121,CDKN1B,OK,treatmentcontrol,-1.336133084,0.056744658,-23.54641185,1.76E-114,-1.844320629,count,4.68E-110
MRPL23,388,MRPL23,OK,treatmentcontrol,-1.487675544,0.106946745,-13.91043312,6.21E-43,-1.836585242,count,1.57E-38
ADM,201,ADM,OK,treatmentcontrol,-1.656366022,0.19126062,-8.660256478,6.87E-18,-1.835218399,count,1.60E-13
UBC,3294,UBC,OK,treatmentcontrol,-1.272697641,0.022641578,-56.21064143,0,-1.829996244,count,0
MAB21L1,2169,MAB21L1,OK,treatmentcontrol,-1.27942966,0.036725764,-34.83738763,9.69E-231,-1.82175412,count,3.53E-226
FBXL8,207,FBXL8,OK,treatmentcontrol,-1.702099015,0.15278566,-11.14043698,2.20E-28,-1.821147351,count,5.39E-24
ANKZF1,625,ANKZF1,OK,treatmentcontrol,-1.375709804,0.081239597,-16.93398114,4.74E-62,-1.815571918,count,1.23E-57
PNRC1,2527,PNRC1,OK,treatmentcontrol,-1.266612561,0.031355948,-40.39465097,1.04E-296,-1.809744347,count,3.79E-292
FRAT2,454,FRAT2,OK,treatmentcontrol,-1.422533841,0.093663423,-15.18772,1.31E-50,-1.800724913,count,3.35E-46
SEC62,3107,SEC62,OK,treatmentcontrol,-1.251594793,0.022211084,-56.35000866,0,-1.79727241,count,0
R3HCC1,991,R3HCC1,OK,treatmentcontrol,-1.310235815,0.0574674,-22.79963626,6.84E-108,-1.797012565,count,1.82E-103
MIR210HG,1157,MIR210HG,OK,treatmentcontrol,-1.295802143,0.058411824,-22.18390152,1.40E-102,-1.796536176,count,3.72E-98
PFKP,1577,PFKP,OK,treatmentcontrol,-1.268173164,0.043594612,-29.0901356,5.29E-168,-1.790419389,count,1.42E-163
AIPL1,3134,AIPL1,OK,treatmentcontrol,-1.241892765,0.02142014,-57.97780818,0,-1.787865784,count,0
INAFM1,357,INAFM1,OK,treatmentcontrol,-1.466005964,0.114319831,-12.82372403,7.06E-37,-1.781426692,count,1.77E-32
KMT2E-AS1,292,KMT2E-AS1,OK,treatmentcontrol,-1.517040798,0.120979262,-12.53967643,2.28E-35,-1.77979385,count,5.69E-31
AL157944.1,209,AL157944.1,OK,treatmentcontrol,-1.580719943,0.151367876,-10.44290234,3.48E-25,-1.770235809,count,8.41E-21
LZTS3,447,LZTS3,OK,treatmentcontrol,-1.393879997,0.090224044,-15.44909684,2.98E-52,-1.765586621,count,7.63E-48
PSME2,870,PSME2,OK,treatmentcontrol,-1.294123493,0.062605331,-20.67113899,5.26E-90,-1.762986133,count,1.39E-85
HIST1H1D,694,HIST1H1D,OK,treatmentcontrol,-1.289127033,0.093269541,-13.82152215,2.02E-42,-1.757086282,count,5.11E-38
PCARE,1034,PCARE,OK,treatmentcontrol,-1.26960023,0.057068334,-22.24701773,4.06E-103,-1.754859222,count,1.08E-98
SNX18,408,SNX18,OK,treatmentcontrol,-1.39599112,0.103322231,-13.51104312,1.18E-40,-1.754438399,count,2.96E-36
BNIP3L,2650,BNIP3L,OK,treatmentcontrol,-1.225295954,0.029574776,-41.43043938,0.00E+00,-1.752985607,count,6.78E-305
NORAD,1507,NORAD,OK,treatmentcontrol,-1.242671956,0.044574953,-27.87825587,1.18E-155,-1.746859885,count,3.16E-151
ING1,570,ING1,OK,treatmentcontrol,-1.339651292,0.08302193,-16.13611353,1.09E-56,-1.745424276,count,2.80E-52
CNBD2,509,CNBD2,OK,treatmentcontrol,-1.348857015,0.089185656,-15.12414753,3.26E-50,-1.745032582,count,8.34E-46
PCAT6,394,PCAT6,OK,treatmentcontrol,-1.395447367,0.113278077,-12.31877703,3.25E-34,-1.743926881,count,8.07E-30
ANP32E,2270,ANP32E,OK,treatmentcontrol,-1.220788683,0.031268959,-39.04155205,2.97E-280,-1.738665608,count,1.09E-275
MAP3K8,209,MAP3K8,OK,treatmentcontrol,-1.586878182,0.151354571,-10.48450783,2.27E-25,-1.734906002,count,5.49E-21
CDKN1C,2345,CDKN1C,OK,treatmentcontrol,-1.213238581,0.049421723,-24.54869048,1.43E-123,-1.734516704,count,3.82E-119
PIGS,611,PIGS,OK,treatmentcontrol,-1.313429566,0.077542738,-16.93813766,4.44E-62,-1.732371654,count,1.15E-57
SPRY1,363,SPRY1,OK,treatmentcontrol,-1.404633991,0.112918609,-12.43934905,7.66E-35,-1.729054078,count,1.91E-30
DBNDD2,657,DBNDD2,OK,treatmentcontrol,-1.29646715,0.078247571,-16.56878457,1.44E-59,-1.722317454,count,3.71E-55
IRF3,791,IRF3,OK,treatmentcontrol,-1.277467942,0.066052407,-19.34021774,1.58E-79,-1.717846315,count,4.14E-75
SPSB3,1081,SPSB3,OK,treatmentcontrol,-1.244037811,0.056322631,-22.08770789,9.28E-102,-1.716651551,count,2.46E-97
PSME1,1431,PSME1,OK,treatmentcontrol,-1.222298976,0.045633819,-26.784937,8.21E-145,-1.712757225,count,2.19E-140
ARID5A,394,ARID5A,OK,treatmentcontrol,-1.363450499,0.106355946,-12.81969221,7.42E-37,-1.703762815,count,1.86E-32
RASSF7,202,RASSF7,OK,treatmentcontrol,-1.58003665,0.142126228,-11.11713634,2.84E-28,-1.695309693,count,6.94E-24
VPS37D,385,VPS37D,OK,treatmentcontrol,-1.357924558,0.105665309,-12.85118623,5.03E-37,-1.686179349,count,1.26E-32
PRCD,1773,PRCD,OK,treatmentcontrol,-1.182379731,0.042511163,-27.81339413,5.28E-155,-1.683268718,count,1.41E-150
MT-ND4L,1697,MT-ND4L,OK,treatmentcontrol,-1.188891238,0.04126165,-28.81346801,3.73E-165,-1.682642655,count,1.00E-160
SNHG9,379,SNHG9,OK,treatmentcontrol,-1.353751186,0.125970519,-10.74657144,1.49E-26,-1.677549109,count,3.61E-22
THAP5,1015,THAP5,OK,treatmentcontrol,-1.217131167,0.055877275,-21.78222143,3.57E-99,-1.675267466,count,9.47E-95
PTP4A3,2542,PTP4A3,OK,treatmentcontrol,-1.167578199,0.031308107,-37.29315814,2.41E-259,-1.671839985,count,8.79E-255
AC006213.2,205,AC006213.2,OK,treatmentcontrol,-1.540784514,0.162774928,-9.465736135,4.98E-21,-1.664806464,count,1.18E-16
PSMG1,750,PSMG1,OK,treatmentcontrol,-1.237560876,0.068143953,-18.16097873,1.01E-70,-1.662965472,count,2.64E-66
SH3D21,219,SH3D21,OK,treatmentcontrol,-1.496293661,0.150396182,-9.949013605,4.89E-23,-1.657487813,count,1.17E-18
