"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"141","IVNS1ABP",307,"IVNS1ABP","OK","treatmentcontrol",-1.152221256,0.124356237,-9.265488273,3.23e-20,-1.417509391,"count",7.53e-16
"144","PRELID3B",342,"PRELID3B","OK","treatmentcontrol",-1.126480705,0.110829264,-10.16410883,5.96e-24,-1.407584493,"count",1.41e-19
"149","SCAMP1-AS1",312,"SCAMP1-AS1","OK","treatmentcontrol",-1.133754555,0.116004292,-9.773384522,2.74e-22,-1.401126589,"count",6.45e-18
"150","UBE2Q1",549,"UBE2Q1","OK","treatmentcontrol",-1.058192307,0.088471904,-11.96077239,2.28e-32,-1.399960158,"count",5.5e-28
"151","FBXO32",257,"FBXO32","OK","treatmentcontrol",-1.157017429,0.133008091,-8.698849944,4.99e-18,-1.398526107,"count",1.15e-13
"152","THAP11",340,"THAP11","OK","treatmentcontrol",-1.114784665,0.114157058,-9.765359085,2.96e-22,-1.392035347,"count",6.96e-18
"153","POLR2J3",732,"POLR2J3","OK","treatmentcontrol",-1.022022264,0.078348819,-13.04451399,4.78e-38,-1.388073718,"count",1.17e-33
"154","AC139530.1",396,"AC139530.1","OK","treatmentcontrol",-1.083838699,0.105901038,-10.23444829,2.95e-24,-1.382699824,"count",6.98e-20
"156","AMD1",790,"AMD1","OK","treatmentcontrol",-1.008624072,0.074036479,-13.62333933,2.92e-41,-1.375290432,"count",7.15e-37
"157","THAP2",321,"THAP2","OK","treatmentcontrol",-1.10921982,0.122966929,-9.020472647,2.96e-19,-1.374288738,"count",6.87e-15
"163","PRR4",252,"PRR4","OK","treatmentcontrol",-1.129061351,0.135922815,-8.306636046,1.37e-16,-1.35167179,"count",3.14e-12
"165","SAMD15",514,"SAMD15","OK","treatmentcontrol",-1.016419715,0.088317457,-11.50870681,3.92e-30,-1.337359468,"count",9.43e-26
"166","EID2B",434,"EID2B","OK","treatmentcontrol",-1.031831937,0.096859021,-10.65292547,4.07e-26,-1.334823425,"count",9.69e-22
"167","WDR74",414,"WDR74","OK","treatmentcontrol",-1.039234393,0.10869057,-9.561403457,2.07e-21,-1.332555665,"count",4.84e-17
"168","LRIT1",240,"LRIT1","OK","treatmentcontrol",-1.126072625,0.137208893,-8.206994486,3.11e-16,-1.324419626,"count",7.11e-12
"169","ANKZF1",330,"ANKZF1","OK","treatmentcontrol",-1.061153079,0.115176809,-9.213253008,5.2e-20,-1.324073797,"count",1.21e-15
"170","PSRC1",381,"PSRC1","OK","treatmentcontrol",-1.038847321,0.105084843,-9.885795991,9.24e-23,-1.323454632,"count",2.18e-18
"171","FSBP",444,"FSBP","OK","treatmentcontrol",-1.015199459,0.09910264,-10.24391946,2.68e-24,-1.318139924,"count",6.34e-20
"172","FAM98B",488,"FAM98B","OK","treatmentcontrol",-1.004748217,0.093304321,-10.76850679,1.21e-26,-1.313603074,"count",2.89e-22
"174","CASTOR2",285,"CASTOR2","OK","treatmentcontrol",-1.07477933,0.126990417,-8.463468029,3.71e-17,-1.309548735,"count",8.52e-13
"175","CCDC117",308,"CCDC117","OK","treatmentcontrol",-1.057926526,0.121379063,-8.715889689,4.3e-18,-1.30661073,"count",9.94e-14
"176","AC009107.2",238,"AC009107.2","OK","treatmentcontrol",-1.110330315,0.143468066,-7.739215752,1.29e-14,-1.301073237,"count",2.9e-10
