"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"77","NES",246,"NES","OK","treatmentcontrol",-3.140649649,0.280568944,-11.19386059,1.45e-28,-3.820927246,"count",3.39e-24
"83","VANGL2",395,"VANGL2","OK","treatmentcontrol",-1.373524647,0.122095655,-11.24957841,7.89e-29,-1.768466929,"count",1.85e-24
"86","GAS5",1745,"GAS5","OK","treatmentcontrol",-1.049855242,0.051146139,-20.52657847,3.89e-88,-1.498717207,"count",1.36e-83
"87","Z99127.4",366,"Z99127.4","OK","treatmentcontrol",-1.389791319,0.12560305,-11.06494879,5.83e-28,-1.775925148,"count",1.36e-23
"88","AL353708.3",304,"AL353708.3","OK","treatmentcontrol",-1.217364902,0.13673581,-8.903043793,8.85e-19,-1.524036994,"count",1.95e-14
"89","IER5",332,"IER5","OK","treatmentcontrol",-1.312522538,0.129272274,-10.15316353,7.26e-24,-1.680792814,"count",1.66e-19
"91","RGS16",474,"RGS16","OK","treatmentcontrol",-3.616637556,0.26491107,-13.65227038,2.65e-41,-5.000203558,"count",8.86e-37
"92","RGS2",251,"RGS2","OK","treatmentcontrol",-1.018414965,0.159531252,-6.383795976,1.97e-10,-1.24348196,"count",3.93e-06
"97","PCAT6",301,"PCAT6","OK","treatmentcontrol",-1.986540549,0.146250082,-13.58317564,6.48e-41,-2.48362914,"count",2.17e-36
"99","KLHDC8A",490,"KLHDC8A","OK","treatmentcontrol",-2.009476347,0.133956894,-15.00091772,3.11e-49,-2.607646558,"count",1.06e-44
"100","C1orf115",554,"C1orf115","OK","treatmentcontrol",-1.126487646,0.105494995,-10.67811462,3.49e-26,-1.508312274,"count",8.06e-22
"102","EPHX1",702,"EPHX1","OK","treatmentcontrol",-1.089114471,0.085291878,-12.76926352,1.81e-36,-1.487555872,"count",5.99e-32
"103","HIST3H2BB",236,"HIST3H2BB","OK","treatmentcontrol",-1.112501404,0.182633214,-6.091451714,1.25e-09,-1.334227224,"count",2.45e-05
"104","IRF2BP2",484,"IRF2BP2","OK","treatmentcontrol",-1.326389427,0.088708121,-14.95228865,6.17e-49,-1.790112903,"count",2.09e-44
"105","SOX11",263,"SOX11","OK","treatmentcontrol",-1.70229812,0.178600913,-9.531295711,2.94e-21,-2.189064948,"count",6.6e-17
"107","MYCN",316,"MYCN","OK","treatmentcontrol",-1.035980886,0.141190408,-7.337473563,2.74e-13,-1.314337041,"count",5.7e-09
"114","LINC01833",382,"LINC01833","OK","treatmentcontrol",-2.510319409,0.17209125,-14.58714142,9.89e-47,-3.230444479,"count",3.34e-42
"115","SIX3-AS1",369,"SIX3-AS1","OK","treatmentcontrol",-2.324806743,0.178214929,-13.04496066,6.01e-38,-2.888779386,"count",2e-33
"116","SIX3",887,"SIX3","OK","treatmentcontrol",-2.285213502,0.09121726,-25.0524244,8.74e-127,-3.204808023,"count",3.11e-122
"118","DUSP2",307,"DUSP2","OK","treatmentcontrol",-1.709872807,0.228587359,-7.480172183,9.5e-14,-2.247867697,"count",1.99e-09
"119","ARID5A",329,"ARID5A","OK","treatmentcontrol",-1.025459469,0.130816222,-7.838932014,6.11e-15,-1.303956726,"count",1.3e-10
"120","LIPT1",291,"LIPT1","OK","treatmentcontrol",-1.174194973,0.1365802,-8.597109801,1.25e-17,-1.457641451,"count",2.73e-13
"123","CCDC74A",215,"CCDC74A","OK","treatmentcontrol",-2.675521285,0.243112668,-11.00527301,1.11e-27,-2.862831322,"count",2.57e-23
"125","FRZB",316,"FRZB","OK","treatmentcontrol",-3.512161325,0.290723518,-12.08076096,6.71e-33,-4.759831506,"count",1.6e-28
"126","FZD5",296,"FZD5","OK","treatmentcontrol",-2.611916788,0.17057029,-15.31284716,3.69e-51,-3.297299621,"count",1.26e-46
"129","ZFAND2B",952,"ZFAND2B","OK","treatmentcontrol",-1.146151747,0.074077646,-15.47230243,3.71e-52,-1.589776231,"count",1.27e-47
"131","OBSL1",537,"OBSL1","OK","treatmentcontrol",-1.884945331,0.106568249,-17.68768235,6.52e-67,-2.534803847,"count",2.25e-62
"132","NPPC",823,"NPPC","OK","treatmentcontrol",-1.248943355,0.103665006,-12.04787809,9.83e-33,-1.720888209,"count",2.34e-28
"133","SAG",599,"SAG","OK","treatmentcontrol",-1.738552759,0.1493448,-11.64120048,1.03e-30,-2.470698544,"count",2.43e-26
"134","ARL4C",573,"ARL4C","OK","treatmentcontrol",-2.662859553,0.144056008,-18.48489058,1.28e-72,-3.551999091,"count",4.46e-68
"137","BHLHE40",247,"BHLHE40","OK","treatmentcontrol",-1.797854313,0.161654637,-11.12157592,3.17e-28,-2.199553411,"count",7.4e-24
"138","LMCD1",761,"LMCD1","OK","treatmentcontrol",-1.721194754,0.105537587,-16.30883181,1.56e-57,-2.339878509,"count",5.34e-53
"140","RPL32",3229,"RPL32","OK","treatmentcontrol",-1.11157232,0.019765119,-56.23909027,0,-1.60261698,"count",0
"141","RPL14",3211,"RPL14","OK","treatmentcontrol",-1.07367041,0.019436299,-55.24047571,0,-1.547240434,"count",0
"142","ZNF502",287,"ZNF502","OK","treatmentcontrol",-1.264286237,0.159390408,-7.93200953,2.94e-15,-1.545298407,"count",6.27e-11
"144","GNAT1",800,"GNAT1","OK","treatmentcontrol",-1.953065303,0.106146801,-18.39966237,5.35e-72,-2.78795152,"count",1.86e-67
"146","HYAL2",581,"HYAL2","OK","treatmentcontrol",-1.019354781,0.076522976,-13.32089833,1.86e-39,-1.384792113,"count",6.22e-35
"147","TWF2",635,"TWF2","OK","treatmentcontrol",-1.248969656,0.093165143,-13.40597578,6.31e-40,-1.686525286,"count",2.11e-35
"148","NT5DC2",714,"NT5DC2","OK","treatmentcontrol",-1.242902904,0.076404493,-16.26740585,2.91e-57,-1.709894884,"count",9.99e-53
"149","TAGLN3",242,"TAGLN3","OK","treatmentcontrol",-2.472184296,0.251353718,-9.835479331,1.63e-22,-3.005173039,"count",3.69e-18
"150","LSAMP",201,"LSAMP","OK","treatmentcontrol",-1.1156362,0.176964951,-6.304277727,3.29e-10,-1.435775756,"count",6.52e-06
"153","RHO",331,"RHO","OK","treatmentcontrol",-1.813616754,0.172976258,-10.48477276,2.56e-25,-2.530911537,"count",5.9e-21
"155","RBP1",739,"RBP1","OK","treatmentcontrol",-2.297242844,0.126949765,-18.09568413,8.31e-70,-3.21948318,"count",2.88e-65
"157","CP",269,"CP","OK","treatmentcontrol",-3.521900497,0.316438807,-11.12979955,2.9e-28,-4.46325411,"count",6.77e-24
"160","HES1",308,"HES1","OK","treatmentcontrol",-4.404043297,0.425773181,-10.34363716,1.08e-24,-5.42592676,"count",2.47e-20
"161","MELTF-AS1",313,"MELTF-AS1","OK","treatmentcontrol",-1.085612504,0.119837473,-9.059040318,2.22e-19,-1.382746032,"count",4.92e-15
"162","RPL35A",3209,"RPL35A","OK","treatmentcontrol",-1.006573618,0.020112254,-50.04777782,0,-1.450582008,"count",0
"163","ZNF595",201,"ZNF595","OK","treatmentcontrol",-1.174961355,0.182209558,-6.44840681,1.3e-10,-1.35918154,"count",2.59e-06
"164","MFSD10",715,"MFSD10","OK","treatmentcontrol",-1.259948969,0.073114079,-17.23264495,9.52e-64,-1.736399383,"count",3.28e-59
"165","SORCS2",266,"SORCS2","OK","treatmentcontrol",-1.149667844,0.128300365,-8.960752696,5.32e-19,-1.466956927,"count",1.18e-14
"167","QDPR",1037,"QDPR","OK","treatmentcontrol",-1.41843001,0.078653681,-18.03386686,2.3e-69,-2.005336755,"count",7.96e-65
"169","SPP1",356,"SPP1","OK","treatmentcontrol",-4.376739564,0.360692819,-12.13425756,3.59e-33,-6.058971103,"count",8.56e-29
"170","NAP1L5",371,"NAP1L5","OK","treatmentcontrol",-3.33557936,0.334011557,-9.98641899,3.76e-23,-3.54454469,"count",8.54e-19
"171","RPL34",3211,"RPL34","OK","treatmentcontrol",-1.121332322,0.022542039,-49.74405056,0,-1.616114956,"count",0
"172","MCUB",244,"MCUB","OK","treatmentcontrol",-1.630694777,0.145354199,-11.2187662,1.1e-28,-2.005438546,"count",2.58e-24
"174","MAD2L1",443,"MAD2L1","OK","treatmentcontrol",-1.24055564,0.142379434,-8.713025513,4.63e-18,-1.644894824,"count",1.02e-13
