"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"809","MAPT",360,"MAPT","OK","treatmentcontrol",1.178968249,0.122635479,9.613598421,1.26e-21,1.507924683,"count",2.96e-17
"818","AFAP1",225,"AFAP1","OK","treatmentcontrol",1.292100109,0.174604647,7.400147333,1.68e-13,1.492841389,"count",3.76e-09
"819","TXNIP",538,"TXNIP","OK","treatmentcontrol",1.0791098,0.093664828,11.52097129,3.42e-30,1.490465572,"count",8.22e-26
"823","NXN",466,"NXN","OK","treatmentcontrol",1.127876117,0.103926402,10.85264273,4.99e-27,1.488149423,"count",1.19e-22
"834","TRIB3",296,"TRIB3","OK","treatmentcontrol",1.180783613,0.1601122,7.374726036,2.03e-13,1.478492298,"count",4.53e-09
"845","ENAH",969,"ENAH","OK","treatmentcontrol",1.041229323,0.066118361,15.74796027,4.13e-54,1.455369138,"count",1.02e-49
"881","MSX1",219,"MSX1","OK","treatmentcontrol",1.214151646,0.163313896,7.434466249,1.3e-13,1.420244589,"count",2.91e-09
"896","SYT2",319,"SYT2","OK","treatmentcontrol",1.139298051,0.132934868,8.570347758,1.5e-17,1.406063498,"count",3.46e-13
"897","CTNNA1",848,"CTNNA1","OK","treatmentcontrol",1.018222007,0.068575962,14.84808921,1.81e-48,1.404405057,"count",4.46e-44
"909","INHBB",264,"INHBB","OK","treatmentcontrol",1.077138088,0.13609448,7.914634652,3.26e-15,1.377057243,"count",7.4e-11
"912","EMB",209,"EMB","OK","treatmentcontrol",1.207214761,0.234294331,5.152556438,2.71e-07,1.372520757,"count",0.005518285
"913","CCM2",259,"CCM2","OK","treatmentcontrol",1.145366031,0.148277973,7.724451613,1.44e-14,1.370152126,"count",3.25e-10
"931","LUZP1",245,"LUZP1","OK","treatmentcontrol",1.110534891,0.157215729,7.063764542,1.93e-12,1.321355083,"count",4.28e-08
"935","AAMDC",427,"AAMDC","OK","treatmentcontrol",1.019831894,0.112112744,9.096484992,1.5e-19,1.315955883,"count",3.48e-15
"943","SCLY",280,"SCLY","OK","treatmentcontrol",1.051714755,0.139855895,7.519988714,6.86e-14,1.280301109,"count",1.54e-09
"950","DAP",248,"DAP","OK","treatmentcontrol",1.025560477,0.140921282,7.277541508,4.14e-13,1.222432305,"count",9.23e-09
"952","EEFSEC",207,"EEFSEC","OK","treatmentcontrol",1.068433136,0.169856606,6.290206537,3.55e-10,1.215055291,"count",7.62e-06
"953","INTS6L",227,"INTS6L","OK","treatmentcontrol",1.033119946,0.152655797,6.767643082,1.52e-11,1.214550935,"count",3.32e-07
"955","C1RL",214,"C1RL","OK","treatmentcontrol",1.050041113,0.167156137,6.281798139,3.74e-10,1.206696516,"count",8.04e-06
"956","PNCK",211,"PNCK","OK","treatmentcontrol",1.030904755,0.164912346,6.251228489,4.54e-10,1.204005761,"count",9.75e-06
"957","BAIAP2L1",236,"BAIAP2L1","OK","treatmentcontrol",1.027434351,0.157869303,6.508132578,8.65e-11,1.203507496,"count",1.87e-06
"961","NUP93",243,"NUP93","OK","treatmentcontrol",1.001380623,0.147443603,6.791617981,1.29e-11,1.184775132,"count",2.82e-07
