"","gene_id","treatmentcontrol","normalized_effect","num_cells_expressed","q_value"
"647","TACR1",8.984769932,2.914360093,338,2.36e-136
"652","AC022893.1",3.10096259,2.900746758,647,1.1e-201
"653","RPL34-AS1",2.512010784,2.899793401,883,6.45e-269
"656","SPANXA2-OT1",3.769652984,2.887262761,234,2.65e-86
"657","AKR1E2",3.44840508,2.882054618,280,1.97e-109
"660","MCTP1",2.183525661,2.878362396,1093,6.98e-230
"661","AL157911.1",8.508627195,2.877486333,233,2.18e-99
"663","AL500522.1",8.473169152,2.877419633,245,1.81e-105
"665","AC104123.1",5.051019648,2.871478842,244,1.15e-103
"666","FGF12-AS1",4.292962357,2.867141934,499,2.81e-190
"679","AC096576.2",4.579583298,2.835981151,202,2.02e-78
"682","ST6GAL1",2.413635752,2.833499192,509,3.81e-105
"683","AC008728.1",9.106706481,2.831780142,463,7.8e-196
"685","LINC02240",8.414341021,2.830802632,253,2.12e-110
"692","LRGUK",2.322542938,2.819048988,1070,5.60370766365887e-315
"693","SLC12A1",2.325045432,2.81863803,1119,3.64e-274
"698","PKIA-AS1",3.923323239,2.810832735,289,8.15e-110
"699","ABCC4",2.156163414,2.809773982,1125,3.7e-303
"710","AL139383.1",2.854187502,2.794494886,358,9.87e-106
"713","MYO3B",1.947204845,2.79285189,5643,0
"714","CFAP61",3.883336755,2.791574646,348,1.27e-121
"721","AL359232.1",2.321285661,2.773654733,733,5.85e-170
"724","AC006305.1",5.471002558,2.769664304,208,3.14e-84
"726","RPGRIP1",1.952578631,2.768890477,4148,0
"732","THSD4",3.81406562,2.761259707,591,4.99e-189
"733","AC073365.1",2.329518466,2.761070148,436,8.31e-91
"735","AC104117.3",2.686673831,2.755194755,333,1.49e-94
"736","AL078604.4",8.3220003,2.752947016,222,3.45e-96
"739","EVC",2.738623332,2.750558913,395,1.79e-131
"740","AC087564.1",1.991121489,2.749479168,1670,0
"742","PLXNA4",2.188602539,2.744377876,1692,0
"744","SNHG22",2.259581183,2.743790851,1023,1.02e-273
"745","HAVCR2",3.804981896,2.738557119,376,5.31e-126
"755","KCNIP2-AS1",3.139250604,2.718223644,649,3.5e-209
"761","CMTM7",4.619914247,2.710915377,314,4.73e-110
"769","LINC02197",2.097859621,2.691581146,1326,1.02806966246598e-313
"772","AC025810.1",1.944045664,2.68502113,2037,0
"773","LINC02320",8.574941414,2.681792397,236,4.47e-98
"776","WARS2-AS1",2.248861257,2.673971439,797,4.56e-191
"777","TMEM132C",1.948892139,2.669409306,1799,0
"778","MBNL3",5.754613138,2.664089427,246,4.79e-98
"784","GALNTL6",2.588153477,2.651846935,217,1.47e-39
"786","AC005884.1",8.350604498,2.649617911,250,8.1e-108
"789","AL158071.1",5.800035326,2.645190727,238,2.91e-97
"790","DLGAP2",1.904150162,2.643322077,1826,0
"798","MYO1H",2.344852779,2.628080173,619,7.01e-161
"799","AC040934.1",8.089793718,2.627491791,242,5.35e-104
"806","AP001636.3",2.511210164,2.618493863,401,2.72e-100
"809","SSTR5-AS1",2.077667209,2.614664338,675,1.07e-142
"810","ARMH1",2.166332179,2.613002452,916,2.82e-217
"812","AC093581.1",8.70154035,2.606602549,323,2.03e-134
"813","AC004943.2",2.116041476,2.606063831,958,2.32e-247
"819","SNHG31",2.484467531,2.588045144,431,5.27e-126
"820","XYLB",2.070490941,2.586038594,1250,2.12e-276
"822","AL138799.4",8.651043315,2.584262457,266,1.64e-109
"823","LZTS1-AS1",7.966582909,2.583023368,231,2.15e-108
"824","CYP1B1-AS1",2.653794232,2.582413742,339,9.3e-84
