"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"2030","TMEM220",271,"TMEM220","OK","treatmentcontrol",1.09873391,0.118837805,9.245659768,4.12e-20,1.385080654,"count",9.18e-16
"2031","LYPLAL1-DT",280,"LYPLAL1-DT","OK","treatmentcontrol",1.084951771,0.129936159,8.349883339,9.99e-17,1.382769277,"count",2.17e-12
"2033","LRP4",550,"LRP4","OK","treatmentcontrol",1.011903997,0.084635699,11.95599506,2.85e-32,1.380431485,"count",6.76e-28
"2034","NBPF15",361,"NBPF15","OK","treatmentcontrol",1.063472739,0.114463013,9.290972781,2.72e-20,1.37905344,"count",6.07e-16
"2035","TRIM26",687,"TRIM26","OK","treatmentcontrol",1.0045048,0.075265907,13.34607984,1.35e-39,1.377933719,"count",4.52e-35
"2037","EFL1",436,"EFL1","OK","treatmentcontrol",1.035663808,0.099561312,10.4022716,5.94e-25,1.377169698,"count",1.36e-20
"2038","TBC1D31",313,"TBC1D31","OK","treatmentcontrol",1.075062323,0.118806292,9.048866891,2.43e-19,1.376549285,"count",5.39e-15
"2039","XYLT2",257,"XYLT2","OK","treatmentcontrol",1.115048503,0.141949585,7.855243106,5.38e-15,1.376083212,"count",1.14e-10
"2041","RSPH4A",477,"RSPH4A","OK","treatmentcontrol",1.029985269,0.093899484,10.96901948,1.63e-27,1.372968444,"count",3.79e-23
"2042","GTF2IRD2B",415,"GTF2IRD2B","OK","treatmentcontrol",1.035761527,0.091964183,11.2626622,6.84e-29,1.370724255,"count",1.6e-24
"2043","ZNF433",463,"ZNF433","OK","treatmentcontrol",1.025097344,0.099865053,10.26482555,2.38e-24,1.369069286,"count",5.45e-20
"2044","PTDSS1",266,"PTDSS1","OK","treatmentcontrol",1.094471531,0.13044424,8.390340055,7.14e-17,1.368237777,"count",1.55e-12
"2045","PDSS1",279,"PDSS1","OK","treatmentcontrol",1.091399028,0.122656516,8.898011028,9.25e-19,1.368002876,"count",2.04e-14
"2046","ACAD10",504,"ACAD10","OK","treatmentcontrol",1.015461881,0.089306849,11.3704816,2.1e-29,1.367545275,"count",4.92e-25
"2050","ADNP-AS1",223,"ADNP-AS1","OK","treatmentcontrol",1.132925275,0.153815215,7.365495488,2.23e-13,1.363845896,"count",4.64e-09
"2051","AC078883.1",218,"AC078883.1","OK","treatmentcontrol",1.13043668,0.158225046,7.144486345,1.11e-12,1.363745945,"count",2.29e-08
"2052","SLC16A4",235,"SLC16A4","OK","treatmentcontrol",1.106760992,0.137084147,8.07358851,9.52e-16,1.362771043,"count",2.04e-11
"2053","NPL",387,"NPL","OK","treatmentcontrol",1.032295319,0.104402733,9.887627317,9.84e-23,1.359394864,"count",2.23e-18
"2054","ZNF461",258,"ZNF461","OK","treatmentcontrol",1.085125669,0.129959724,8.34970741,1e-16,1.355826156,"count",2.17e-12
