"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"2102","CCDC149",307,"CCDC149","OK","treatmentcontrol",1.071656954,0.14289934,7.499383508,7.95e-14,1.281096095,"count",1.79e-09
"2105","NRN1L",202,"NRN1L","OK","treatmentcontrol",1.22217523,0.210161808,5.815401206,6.55e-09,1.275579786,"count",0.000137502
"2110","FAM227A",365,"FAM227A","OK","treatmentcontrol",1.012425906,0.126117229,8.027657389,1.32e-15,1.265157685,"count",3.01e-11
"2112","ENTPD5",207,"ENTPD5","OK","treatmentcontrol",1.201017863,0.17710605,6.78134859,1.38e-11,1.260313361,"count",3.02e-07
"2113","LINC00205",365,"LINC00205","OK","treatmentcontrol",1.026980274,0.128807107,7.973009393,2.04e-15,1.259255332,"count",4.65e-11
"2116","LINC02115",274,"LINC02115","OK","treatmentcontrol",1.053730738,0.138876427,7.587542101,4.08e-14,1.257971372,"count",9.22e-10
"2117","SOAT1",270,"SOAT1","OK","treatmentcontrol",1.085770091,0.151586794,7.162695778,9.47e-13,1.257133049,"count",2.11e-08
"2126","PRDM4",336,"PRDM4","OK","treatmentcontrol",1.031742261,0.137608915,7.497641145,8.06e-14,1.247534116,"count",1.81e-09
"2129","FAM118B",263,"FAM118B","OK","treatmentcontrol",1.089965479,0.15384778,7.084700727,1.66e-12,1.238433612,"count",3.67e-08
"2149","HAUS5",233,"HAUS5","OK","treatmentcontrol",1.105469644,0.177892878,6.214243404,5.72e-10,1.195930437,"count",1.22e-05
"2152","ALDH18A1",214,"ALDH18A1","OK","treatmentcontrol",1.111206387,0.178685378,6.218787453,5.56e-10,1.187604316,"count",1.19e-05
"2159","SLC45A4",264,"SLC45A4","OK","treatmentcontrol",1.020692422,0.146344105,6.974605636,3.61e-12,1.161674201,"count",7.97e-08
"2161","MAPKBP1",217,"MAPKBP1","OK","treatmentcontrol",1.060719893,0.183806252,5.77085861,8.52e-09,1.155478321,"count",0.000178504
"2163","RTN4IP1",253,"RTN4IP1","OK","treatmentcontrol",1.003087003,0.14869514,6.745929974,1.75e-11,1.148658506,"count",3.84e-07
"2166","GNAO1",211,"GNAO1","OK","treatmentcontrol",1.017157987,0.168807144,6.025562442,1.85e-09,1.142696381,"count",3.92e-05
"2169","NEU3",214,"NEU3","OK","treatmentcontrol",1.03416061,0.1834261,5.638023229,1.85e-08,1.109765388,"count",0.000384064
"2170","AC005520.2",218,"AC005520.2","OK","treatmentcontrol",1.015351293,0.160334928,6.332689364,2.69e-10,1.100506585,"count",5.8e-06
